,ID,TITLE,PRICE,PRICE PER SQ. M.,BEDROOMS,BATHROOMS,SIZE,POOL,URL,IMG,NEW BUILD,*ROOMS*,*KITCHEN*,*BATHROOM*,*GARDEN*,*OUTSIDE*,*HEATING*,*POOL*,*BUILDINGS*,*TENURE*,*UTILITIES*,*ENERGY CONSUMPTION RATING*,*SECURITY*,*PARKING*,*PLOT SIZE*,*LEISURE*,*VIEWS*,*QUALITY*,LAT,LON
258,4645487,2 bedroom Apartment for sale in Malaga,500000.0,,2,,,False,https://www.kyero.com/en/property/4645487,http://production.kyero.s3.amazonaws.com/4645/4645487/54704723_original.jpg,True,,,,,various terraces,,,,,,Awaiting details,24h security system,,,,sea views,,36.719623,-4.420023
259,4249828,2 bedroom Apartment for sale in Malaga,226500.0,,2,,,False,https://www.kyero.com/en/property/4249828,http://production.kyero.s3.amazonaws.com/4249/4249828/47147686_original.jpg,True,,,,,terrace,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
260,4249812,3 bedroom Apartment for sale in Malaga,235000.0,,3,,,False,https://www.kyero.com/en/property/4249812,http://production.kyero.s3.amazonaws.com/4249/4249812/47147435_original.jpg,True,reception with fireplace,,,,various terraces,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
261,4249841,3 bedroom Apartment for sale in Malaga,220000.0,,3,,,False,https://www.kyero.com/en/property/4249841,http://production.kyero.s3.amazonaws.com/4249/4249841/47147942_original.jpg,True,,,,,,,,,,,Awaiting details,gated complex,,,,,spacious accommodation,36.719623,-4.420023
262,4249808,3 bedroom Apartment for sale in Malaga,270000.0,,3,,,False,https://www.kyero.com/en/property/4249808,http://production.kyero.s3.amazonaws.com/4249/4249808/54528713_original.jpg,True,,,,,,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
263,4426175,2 bedroom Apartment for sale in Malaga,160000.0,,2,,,False,https://www.kyero.com/en/property/4426175,http://production.kyero.s3.amazonaws.com/4426/4426175/50580011_original.jpg,True,,,,,,,,,,,Awaiting details,,,,,sea views,,36.719623,-4.420023
264,4253750,2 bedroom Apartment for sale in Malaga,189000.0,,2,,,False,https://www.kyero.com/en/property/4253750,http://production.kyero.s3.amazonaws.com/4253/4253750/47206981_original.jpg,True,reception with fireplace,,,,terrace,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
265,4645447,2 bedroom Apartment for sale in Malaga,175000.0,,2,,,False,https://www.kyero.com/en/property/4645447,http://production.kyero.s3.amazonaws.com/4645/4645447/54704130_original.jpg,True,reception with fireplace,,,,,,,,,,Awaiting details,24h security system,underground parking,,,garden & pool views,,36.719623,-4.420023
266,4645466,2 bedroom Apartment for sale in Malaga,165000.0,,2,,,False,https://www.kyero.com/en/property/4645466,http://production.kyero.s3.amazonaws.com/4645/4645466/54704427_original.jpg,True,,,,,sunny terraces,,,,,,Awaiting details,24h security system,underground parking,,,,,36.719623,-4.420023
267,4617244,2 bedroom Apartment for sale in Malaga,199000.0,,2,,,False,https://www.kyero.com/en/property/4617244,http://production.kyero.s3.amazonaws.com/4617/4617244/54237159_original.jpg,True,,,,,,,,,,,Awaiting details,,,,,,"spacious accommodation, part renovated",36.719623,-4.420023
